Time,AAPL,ABBV,ABT,ADBE,AMD,AMGN,AMZN,AVGO,BAC,CAN,CAT,CMCSA,COP,COST,CRM,CSCO,CVX,DHR,DIS,FB,GOOGL,HD,INTC,INTU,JNJ,JPM,KO,LIN,LLY,MA,MCD,META,MRK,MSFT,NFLX,NVDA,ORCL,PEP,PFE,PG,PM,TMO,TSLA,TXN,UNH,V,VZ,WFC,WMT,XOM
1/29/10,-0.088591196,0,-0.012354163,-0.121805329,-0.229338843,0.033763479,-0.067722272,-0.049753964,0.007968127,0,-0.076944199,-0.055862886,-0.06011357,-0.029406794,-0.138538701,-0.061403509,-0.063254968,-0.051196809,-0.08372093,0,0,-0.031800899,-0.049019608,-0.036446469,-0.024064586,-0.064424344,-0.048245614,0,-0.014281714,-0.02317885,-0.000160154,0,0.044882321,-0.075459318,0.129969141,-0.176124197,-0.058071701,-0.019407895,0.025838373,0.022563197,-0.055613198,-0.032291885,0,-0.132112945,0.082677165,-0.062085525,-0.09876856,0.053353094,-0.000374181,-0.05514005
2/26/10,0.065379589,0,0.025311674,0.072755418,0.060321716,-0.031976744,-0.055896659,0.044303797,0.097496706,0,0.092075038,0.038534428,0.010231226,0.064870947,0.069236821,0.082777036,0.012095857,0.036720392,0.057191201,0,0,0.113887897,0.066716628,0.092874029,0.009923321,0.077812018,-0.028202765,0,-0.010442108,-0.102160864,0.031482816,0,-0.03404924,0.022053491,0.061044177,0.052631579,0.068950564,0.047802751,-0.050393554,0.02810723,0.076246979,0.056771398,0,0.083555556,0.026060606,0.041173363,-0.016655337,-0.036631075,0.011978289,0.015431358
3/31/10,0.148470335,0,-0.029476787,0.020779221,0.17193426,0.057012895,0.146706081,0.13292011,0.072083079,0,0.101665206,0.145377129,0.066041667,-0.020665901,0.095658572,0.069872585,0.048824343,0.080868725,0.117477593,0,0,0.044591232,0.085728203,0.060568603,0.034920635,0.066237789,0.051811315,0,0.054746651,0.132058653,0.044949099,0,0.023179033,0.021538193,0.116426949,0.074074074,0.043002028,0.066517255,-0.022792023,-0.000158028,0.0767028,0.054746771,0,0.00369155,-0.035144714,0.067424953,0.072243346,0.138258961,0.034096759,0.030461538
4/30/10,0.111021277,0,-0.020680072,-0.050042409,-0.021574973,-0.042239398,0.009795978,-0.002553191,-0.001120448,0,0.0901131,0.055192257,0.15673246,-0.010550996,0.149764943,0.03457549,0.073981274,0.054686522,0.055285019,0,0,0.089026275,0.024674742,0.054487179,-0.013803681,-0.047438601,-0.028181818,0,-0.03451132,-0.022891617,0.058003597,0,-0.06184739,0.042594964,0.341198807,-0.097126437,0.008046109,-0.014207981,-0.025072886,-0.010050629,-0.05904908,0.074650078,0,0.067765724,-0.071393851,-0.008788312,-0.053708842,0.063946015,-0.035251799,0.011794566
5/28/10,-0.016124708,0,-0.070367475,-0.045238095,-0.055126792,-0.096492759,-0.084901532,0.006825939,-0.117218172,0,-0.107651638,-0.084977238,-0.114376699,-0.010700172,0.010864486,-0.139992573,-0.084550031,-0.058139535,-0.092833876,0,0,-0.038887312,-0.055509864,-0.012434374,-0.08501832,-0.070455613,-0.038353601,0,-0.04912886,-0.186542493,-0.044945472,0,-0.038527397,-0.151227019,0.123862487,-0.16359007,-0.127476563,-0.035725238,-0.079571216,-0.017213642,-0.101059495,-0.058248915,0,-0.061130334,-0.040910591,-0.195769554,-0.047750865,-0.132167858,-0.051986709,-0.101775177
6/30/10,-0.020826845,0,-0.016400336,-0.176122195,-0.145857643,0.01583623,-0.129124821,0.019854722,-0.08646484,0,-0.011356155,-0.039800995,-0.053413035,-0.058712446,-0.008205247,-0.079879102,-0.081359144,-0.128558242,-0.057450628,0,0,-0.165158882,-0.091970121,-0.027140459,0.013036021,-0.075037898,-0.01659599,0,0.021652943,-0.01110175,-0.014954389,0,0.049308373,-0.108139535,-0.022492128,-0.222983257,-0.049180328,-0.023517017,-0.063690085,-0.018169913,0.052378921,-0.057817902,-0.002511511,-0.046683047,-0.019038655,-0.023599227,0.018168605,-0.107703032,-0.049248418,-0.056070129
7/30/10,0.022740826,0,0.058850245,0.086643965,0.023224044,0.036692015,0.078985905,0.033238367,-0.022964509,0,0.169135696,0.126964817,0.136212125,0.034287799,0.15299464,0.082590333,0.123047451,0.034752155,0.06952381,0,0,0.015675098,0.059125964,0.14322692,-0.016423976,0.101770565,0.099561053,0,0.062686567,0.053452772,0.058600273,0,-0.014583929,0.121686223,-0.05614358,-0.099902057,0.103940169,0.064971288,0.051893408,0.027712474,0.113438045,-0.085423038,-0.163239614,0.065613324,0.072183099,0.036749117,0.250328668,0.083203125,0.064905346,0.04573331
8/31/10,-0.055004859,0,0.005297474,-0.03551532,-0.251001335,-0.064001467,0.058868437,-0.073988971,-0.112535613,0,-0.065806452,-0.121982537,-0.050525172,-0.000144847,0.110459828,-0.13372345,-0.018949774,-0.054152564,-0.034134758,0,0,-0.015915468,-0.135960529,0.075157233,-0.009217378,-0.097318769,0.01401742,0,-0.043866442,-0.055608456,0.055677894,0,0.020313407,-0.086073227,0.223988298,0.01468988,-0.075930626,-0.011246341,0.072279805,-0.024362328,0.006269592,-0.061078912,-0.023069208,-0.06763872,0.041707718,-0.057978228,0.016173434,-0.149218934,-0.014704387,-0.002334552
9/30/10,0.167215138,0,0.058775841,-0.055956679,0.267379679,0.079741379,0.25819114,0.117121588,0.052361196,0,0.207489257,0.057619187,0.095365249,0.141415929,0.017473608,0.095821866,0.094087473,0.118359076,0.017209588,0,0,0.138749101,0.08689499,0.025095057,0.086636268,0.046754675,0.055137392,0,0.087526049,0.129259931,0.019846701,0,0.057912115,0.04368208,0.291905672,0.252761394,0.229114214,0.042871074,0.079195475,0.005027652,0.103380548,0.136752137,0.0474846,0.178974805,0.110884206,0.076543926,0.103623434,0.066454352,0.067411249,0.045339198
10/29/10,0.060722467,0,-0.009482949,0.076481836,0.03164557,0.037742696,0.052018337,0.096401599,-0.126197291,0,0.004554938,0.146895388,0.043551463,-0.023502614,0.038193202,0.043835616,0.019123998,0.067717311,0.091389728,0,0,-0.024621212,0.044270833,0.095183748,0.028728212,-0.010028757,0.04784689,0,-0.036408431,0.072424285,0.043752516,0,-0.013583265,0.08881176,0.070362605,0.028976203,0.096261068,-0.017158338,0.014269074,0.068089388,0.044448411,0.073934837,0.070325901,0.094379778,0.026772999,0.052518179,0.011188717,0.037626916,0.012144993,0.076064088
